City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,mathba,22.2855,89.9629,30.29,59,0,1.61,BD,1684979853
158,colonia,50.9333,6.95,10.48,85,0,1.03,DE,1684979652
159,arauca,7.0847,-70.7591,26.98,89,20,0.51,CO,1684979853
160,port saint john's,-31.6229,29.5448,18.51,53,98,3.81,ZA,1684979853
161,trail,49.0998,-117.7022,14.31,82,95,2.18,CA,1684979854
162,ust-nera,64.5667,143.2,3.45,88,99,2.13,RU,1684979854
163,polyarnyy,69.1989,33.4478,11.05,69,100,7.78,RU,1684979854
164,tari,12.4086,4.4914,32.23,47,100,5.64,NG,1684979854
165,vorgashor,67.5833,63.95,11.65,69,100,5.63,RU,1684979854
166,campeni,46.3667,23.05,12.65,93,87,1.42,RO,1684979854
167,istgah-e rah ahan-e garmsar,35.2346,52.3094,27.35,20,62,3.36,IR,1684979854
168,fale old settlement,-9.3852,-171.2468,27.77,74,36,1.04,TK,1684979855
169,pangkalpinang,-2.1333,106.1333,29.71,70,6,4.18,ID,1684979855
170,ghat,24.9647,10.1728,27.62,12,99,3.17,LY,1684979855
171,manaure,11.7751,-72.4445,28.4,76,74,2.57,CO,1684979855
172,alegrete,-29.7831,-55.7919,19.77,76,100,3.18,BR,1684979855
173,rosarito,32.3333,-117.0333,17.36,69,0,3.33,MX,1684979855
174,forster,-32.1667,152.5167,22.43,44,43,2.01,AU,1684979855
175,midvagur,62.0511,-7.1939,7.46,81,75,11.32,FO,1684979855
176,dompu,-8.5356,118.4622,29.15,63,13,2.84,ID,1684979856
177,juneau,58.3019,-134.4197,14.0,100,100,4.63,US,1684979577
178,usogorsk,63.4106,48.6872,16.7,68,100,2.82,RU,1684979856
179,ouesso,1.6136,16.0517,22.23,95,43,1.36,CG,1684979856
180,sitka,57.0531,-135.33,10.94,87,100,1.54,US,1684979856
181,bredasdorp,-34.5322,20.0403,12.94,62,100,3.5,ZA,1684979856
182,inari,68.906,27.0288,9.11,58,81,6.5,FI,1684979856
183,saipan,15.1355,145.701,28.63,77,100,15.76,MP,1684979857
184,mitu,1.1983,-70.1733,23.19,99,100,1.08,CO,1684979857
185,covington,39.0837,-84.5086,23.24,49,20,5.66,US,1684979857
186,lompoc,34.6391,-120.4579,17.66,71,75,6.26,US,1684979857
187,ballina,-28.8667,153.5667,23.21,56,0,3.2,AU,1684979857
188,ndele,8.4109,20.6473,25.97,51,61,2.16,CF,1684979857
189,ca mau,9.1769,105.15,32.44,54,76,4.2,VN,1684979764
190,bawshar,23.5556,58.3989,32.36,48,44,4.19,OM,1684979857
191,gulf shores,30.246,-87.7008,22.78,76,100,2.06,US,1684979738
192,tarawa,1.419,172.984,31.05,74,40,0.51,KI,1684979858
193,nouadhibou,20.931,-17.0347,19.99,73,100,7.72,MR,1684979858
194,port augusta,-32.5,137.7667,19.16,37,100,5.59,AU,1684979712
195,yeppoon,-23.1333,150.7333,23.88,64,1,5.08,AU,1684979858
196,zhanaozen,43.3,52.8,25.63,25,83,10.7,KZ,1684979858
